file,result,time
p1,12581.0,0.016000032424926758
p2,8010.0,0.016000032424926758
p3,10010.0,0.014999866485595703
p4,12010.0,0.016000032424926758
p5,12128.0,0.0
p6,8329.0,0.0
p7,10329.0,0.0
p8,12329.0,0.016000032424926758
p9,10776.0,0.0
p10,7726.0,0.0
p11,9726.0,0.016000032424926758
p12,11726.0,0.0
p13,10913.0,0.015000104904174805
p14,9180.0,0.016000032424926758
p15,13180.0,0.014999866485595703
p16,17180.0,0.016000032424926758
p17,10104.0,0.014999866485595703
p18,9180.0,0.015000104904174805
p19,13180.0,0.032000064849853516
p20,17180.0,0.014999866485595703
p21,9845.0,0.016000032424926758
p22,9180.0,0.0
p23,13180.0,0.015000104904174805
p24,17180.0,0.0
p25,18186.0,0.14499998092651367
p26,16095.0,0.1419999599456787
p27,21495.0,0.127000093460083
p28,26895.0,0.127000093460083
p29,18225.0,0.18000006675720215
p30,16173.0,0.14300012588500977
p31,21573.0,0.12800002098083496
p32,26973.0,0.1530001163482666
p33,17364.0,0.1550002098083496
p34,15989.0,0.14599990844726562
p35,21389.0,0.14400005340576172
p36,26789.0,0.15900015830993652
p37,16825.0,0.20200014114379883
p38,15989.0,0.15900015830993652
p39,21389.0,0.127000093460083
p40,26789.0,0.14300012588500977
p41,9276.0,0.016000032424926758
p42,9267.0,0.03099989891052246
p43,7629.0,0.031000137329101562
p44,8833.0,0.02499985694885254
p45,8331.0,0.03299999237060547
p46,8581.0,0.1099998950958252
p47,9203.0,0.046000003814697266
p48,9262.0,0.04699993133544922
p49,7766.0,0.03099989891052246
p50,11502.0,0.015000104904174805
p51,10099.0,0.06299996376037598
p52,13352.0,0.031000137329101562
p53,13680.0,0.04699993133544922
p54,13598.0,0.016000032424926758
p55,11411.0,0.04699993133544922
p56,23882.0,0.2760000228881836
p57,32882.0,0.33500003814697266
p58,53882.0,0.3280000686645508
p59,43697.0,0.24000000953674316
p60,23882.0,0.2519998550415039
p61,32882.0,0.2369999885559082
p62,53882.0,0.2519998550415039
p63,39308.0,0.23600006103515625
p64,23882.0,0.252000093460083
p65,32882.0,0.2519998550415039
p66,53882.0,0.34800004959106445
p67,42079.0,0.252000093460083
p68,23882.0,0.23799991607666016
p69,32882.0,0.26799988746643066
p70,53882.0,0.25299978256225586
p71,42449.0,0.2519998550415039
